Date,GOOG
2020-09-28,72.79330444335938
2020-09-29,73.03237915039062
2020-09-30,73.04580688476562
2020-10-01,74.06425476074219
2020-10-02,72.4901123046875
2020-10-05,73.86195373535156
2020-10-06,72.2425765991211
2020-10-07,72.58306884765625
2020-10-08,73.85748291015625
2020-10-09,75.31332397460938
2020-10-12,77.993896484375
2020-10-13,78.11964416503906
2020-10-14,77.94071960449219
2020-10-15,77.495849609375
2020-10-16,78.18575286865234
2020-10-19,76.27709197998047
2020-10-20,77.33679962158203
2020-10-21,79.19474792480469
2020-10-22,80.28925323486328
2020-10-23,81.56517791748047
2020-10-26,79.0525894165039
2020-10-27,79.739013671875
2020-10-28,75.38291931152344
2020-10-29,77.89895629882812
2020-10-30,80.57157135009766
2020-11-02,80.82108306884766
2020-11-03,82.02294158935547
